Year,DMCODE,New_DIST,NEW_MANDAL,June,July,Aug,Sep,total,Rainy Days,No Rain,Light Rainfall,moderate,Heavy,Very Heavy
2015,206,Kumarambheem Asifabad,Asifabad,190.4,182.8,187.4,195.4,756,39,77,30,12,3,0
2015,213,Kumarambheem Asifabad,Bejjur,432.2,90.4,370.8,155.8,1049.2,40,74,32,13,1,2
2015,212,Kumarambheem Asifabad,Chintalamanepally,404.8,141.6,262,137.8,946.2,43,77,29,12,4,0
2015,215,Kumarambheem Asifabad,Dahegaon,441.4,159.8,176.2,209.6,987,42,78,28,14,1,1
2015,201,Kumarambheem Asifabad,Jainoor,328,274.6,161,238.8,1002.4,46,72,30,16,4,0
2015,209,Kumarambheem Asifabad,Kagaznagar,226.6,175,104.2,160,665.8,36,77,34,8,3,0
2015,207,Kumarambheem Asifabad,Kerameri,296,150,72.4,296.6,815,35,86,27,5,2,2
2015,211,Kumarambheem Asifabad,Kouthala,404.8,141.6,262,137.8,946.2,43,77,29,12,4,0
2015,203,Kumarambheem Asifabad,Lingapur,290.8,235.2,156,330,1012,45,73,33,12,3,1
2015,214,Kumarambheem Asifabad,Penchikalpet,432.2,90.4,370.8,155.8,1049.2,40,74,32,13,1,2
2015,205,Kumarambheem Asifabad,Rebbana,277.4,117.6,190.4,199.8,785.2,44,76,31,13,2,0
2015,210,Kumarambheem Asifabad,Sirpur_T,333.8,134.4,236.2,220.8,925.2,44,73,31,13,5,0
2015,202,Kumarambheem Asifabad,Sirpur_U,290.8,235.2,156,330,1012,45,73,33,12,3,1
2015,204,Kumarambheem Asifabad,Tiryani,233.8,170.2,111.6,264.6,780.2,34,80,26,14,2,0
2015,208,Kumarambheem Asifabad,Wankdi,328.8,246.8,80,186,841.6,41,74,29,16,3,0
2015,1003,Mahabubabad,Bayyaram,394.2,127.8,283.2,189.8,995,45,75,24,21,2,0
2015,1012,Mahabubabad,Chinnagudur,388.8,76.2,236.2,250.2,951.4,43,79,25,15,3,0
2015,1014,Mahabubabad,Danthalapalle,275.8,24,121.2,92.4,513.4,31,86,25,10,1,0
2015,1005,Mahabubabad,Dornakal,508,98.4,197.6,108.2,912.2,41,76,25,19,2,0
2015,1002,Mahabubabad,Ganagavaram,481.9,154,213,208,1056.9,49,73,27,18,3,1
2015,1004,Mahabubabad,Garla,445.2,91,196.8,180.6,913.6,40,76,30,13,3,0
2015,1008,Mahabubabad,Gudur,557.4,108.4,246.2,138,1050,38,84,21,13,3,1
2015,1009,Mahabubabad,Kesamudram,390.4,144.6,185.8,164.2,885,41,78,22,21,1,0
2015,1001,Mahabubabad,Kothaguda,481.9,154,213,208,1056.9,49,73,27,18,3,1
2015,1006,Mahabubabad,Kuravi,552.6,71,409.2,202.8,1235.6,46,75,26,17,3,1
2015,1007,Mahabubabad,Mahabubabad,381.2,139.2,354.4,194.6,1069.4,46,76,25,18,2,1
2015,1013,Mahabubabad,Maripeda,388.8,76.2,236.2,250.2,951.4,43,79,25,15,3,0
2015,1011,Mahabubabad,Narsimhulapet,275.8,24,121.2,92.4,513.4,31,86,25,10,1,0
2015,1010,Mahabubabad,Nellikudur,477,55,352,167.2,1051.2,40,77,24,20,0,1
2015,1016,Mahabubabad,Peddavangara,406.4,54.2,182.8,203.4,846.8,35,87,20,12,2,1
2015,1015,Mahabubabad,Thorrur,497,52.6,332,208.2,1089.8,38,78,22,18,4,0
2015,2518,Mahabubnagar,Addakal,155.2,16,173.4,69.6,414.2,25,91,22,9,0,0
2015,2523,Mahabubnagar,Balanagar,50.6,18.4,74,135.4,278.4,21,97,19,6,0,0
2015,2520,Mahabubnagar,Bhoothpur,88.2,18.8,113.2,127,347.2,26,90,26,6,0,0
2015,2508,Mahabubnagar,Chinna_Chintha_Kunta,57,13,80,79.8,229.8,24,96,22,4,0,0
2015,2501,Mahabubnagar,Damaragidda,41.6,42.4,120.4,158.2,362.6,25,96,18,8,0,0
2015,2517,Mahabubnagar,Devarkadara,102,10,248,55,415,27,85,27,10,0,0
2015,2510,Mahabubnagar,Dhanwada,100,52,172,150,474,29,87,23,12,0,0
2015,2514,Mahabubnagar,Gandeed,56.2,17.4,91.2,43.8,208.6,24,96,22,4,0,0
2015,2515,Mahabubnagar,Hanwada,94.8,22,90.2,115.2,322.2,20,97,19,6,0,0
2015,2525,Mahabubnagar,Jadcherla,62.2,15.4,91.8,40.6,210,21,96,24,2,0,0
2015,2511,Mahabubnagar,Koilkonda,60.4,43.4,170.4,98.8,373,30,87,27,8,0,0
2015,2513,Mahabubnagar,Kosgi,82.8,13,122.2,70,288,17,105,11,6,0,0
2015,2505,Mahabubnagar,Krishna,94,40,147,151,432,26,95,17,10,0,0
2015,2512,Mahabubnagar,Maddur,46,29.6,85.8,107,268.4,21,94,23,5,0,0
2015,2504,Mahabubnagar,Maganoor,94,40,147,151,432,26,95,17,10,0,0
2015,2516,Mahabubnagar,Mahabubnagar_Rural,96.1,29.4,135.5,130.4,391.4,32,60,53,9,0,0
2015,2521,Mahabubnagar,Mahabubnagar_Urban,79.4,21.2,114.4,253.2,468.2,27,92,21,8,1,0
2015,2506,Mahabubnagar,Makthal,46,15,170,158,389,25,91,23,8,0,0
2015,2509,Mahabubnagar,Marikal,100,52,172,150,474,29,87,23,12,0,0
2015,2526,Mahabubnagar,Midjil,94,10,37.2,48,189.2,19,101,17,4,0,0
2015,2519,Mahabubnagar,Musapet,155.2,16,173.4,69.6,414.2,25,91,22,9,0,0
2015,2502,Mahabubnagar,Narayanpet,62.2,18.8,153.8,217.4,452.2,32,83,28,11,0,0
2015,2507,Mahabubnagar,Narva,114.4,60.4,133.6,159,467.4,28,90,21,11,0,0
2015,2522,Mahabubnagar,Nawabpet,97.4,55,152.2,118.8,423.4,30,84,30,8,0,0
2015,2524,Mahabubnagar,Rajapur,50.6,18.4,74,135.4,278.4,21,97,19,6,0,0
2015,2503,Mahabubnagar,Utkoor,64,35,243,133,475,30,90,23,9,0,0
2015,311,Mancherial,Bellampalle,348.6,200.6,173.6,172.8,895.6,40,72,33,15,1,1
2015,307,Mancherial,Bheemini,272.4,128.4,255.2,157.2,813.2,43,79,26,15,2,0
